bin_packing.R, 1626.0, 2980.0
binary-trees.R, 294.0, 326.0
randomForest.R, 67.0, 34.0
pen_l1_regression.R, 4483.0, 10838.0
qda.R, 808.0, 2814.0
ctree.R, 200.0, 360.0
cforest.R, 178.0, 150.0
glm_logistic.R, 123.0, 107.0
knn.R, 61.0, 39.0
lm.R, 279.0, 236.0
svm.R, 84.0, 67.0
R-benchmark-25.R, 194.0, 228.0
spectral-norm.r, 34.0, 8.0
k-nucleotide.R, 888.0, 820.0
nbody.R, 3035.0, 3212.0
fasta.R, 8933.0, 356.0
rw2d1.R, 392.0, 172.0
